id,det_prob,start_time,end_time,high_freq,low_freq,class,class_prob
0,0.795,0.0365,0.0433,76201,52109,Pipistrellus pygmaeus,0.789
1,0.752,0.1225,0.1296,77596,52109,Pipistrellus pygmaeus,0.749
2,0.764,0.2055,0.2114,71592,51250,Pipistrellus pygmaeus,0.757
3,0.769,0.2885,0.2958,84233,52109,Pipistrellus pygmaeus,0.765
4,0.743,0.3715,0.3772,63659,52109,Pipistrellus pygmaeus,0.733
5,0.809,0.4535,0.4598,82464,52109,Pipistrellus pygmaeus,0.807
6,0.772,0.5345,0.5401,67910,52109,Pipistrellus pygmaeus,0.766
7,0.664,0.6805,0.6873,77292,52109,Pipistrellus pygmaeus,0.658
8,0.69,0.7635,0.7681,60929,52109,Pipistrellus pygmaeus,0.684
9,0.748,0.8515,0.8578,78189,52968,Pipistrellus pygmaeus,0.723
10,0.65,1.0235,1.0297,60282,52968,Pipistrellus pygmaeus,0.64
11,0.662,1.3315,1.3374,62514,53828,Pipistrellus pygmaeus,0.646
12,0.766,1.4055,1.4117,71506,52968,Pipistrellus pygmaeus,0.756
13,0.7,1.5705,1.5778,63129,52968,Pipistrellus pygmaeus,0.688
