id,det_prob,start_time,end_time,high_freq,low_freq,class,class_prob
0,0.822,0.0375,0.0435,85832,52109,Pipistrellus pygmaeus,0.819
1,0.832,0.1505,0.1569,93855,52968,Pipistrellus pygmaeus,0.831
2,0.806,0.2225,0.2295,95460,52968,Pipistrellus pygmaeus,0.805
3,0.792,0.3615,0.3684,92860,53828,Pipistrellus pygmaeus,0.791
4,0.761,0.4355,0.4423,92250,53828,Pipistrellus pygmaeus,0.759
5,0.75,0.5145,0.5217,94389,52968,Pipistrellus pygmaeus,0.748
6,0.761,0.5945,0.6013,94797,52109,Pipistrellus pygmaeus,0.76
7,0.827,0.6665,0.6725,86969,52109,Pipistrellus pygmaeus,0.825
8,0.816,0.7445,0.751,88886,52109,Pipistrellus pygmaeus,0.814
9,0.798,0.8195,0.8254,85926,52109,Pipistrellus pygmaeus,0.796
10,0.781,0.8945,0.9009,82890,52109,Pipistrellus pygmaeus,0.778
11,0.805,0.9685,0.9748,80942,52109,Pipistrellus pygmaeus,0.802
12,0.758,1.0285,1.0352,90130,52109,Pipistrellus pygmaeus,0.754
13,0.806,1.1145,1.1198,72652,52968,Pipistrellus pygmaeus,0.802
14,0.727,1.1875,1.193,69364,52109,Pipistrellus pygmaeus,0.721
15,0.757,1.2445,1.2503,69512,52109,Pipistrellus pygmaeus,0.748
16,0.748,1.3075,1.3125,68292,52968,Pipistrellus pygmaeus,0.743
17,0.775,1.3695,1.3749,77668,52968,Pipistrellus pygmaeus,0.77
18,0.782,1.4295,1.4355,75477,52109,Pipistrellus pygmaeus,0.778
19,0.723,1.5335,1.5403,67789,52109,Pipistrellus pygmaeus,0.711
20,0.789,1.6385,1.6441,69645,52968,Pipistrellus pygmaeus,0.785
21,0.786,1.7505,1.7562,77009,52968,Pipistrellus pygmaeus,0.78
22,0.8,1.8175,1.8233,83772,52968,Pipistrellus pygmaeus,0.797
23,0.807,1.9425,1.949,92916,52968,Pipistrellus pygmaeus,0.805
24,0.804,2.0115,2.0171,86598,52968,Pipistrellus pygmaeus,0.799
25,0.809,2.1335,2.1385,85551,53828,Pipistrellus pygmaeus,0.799
26,0.796,2.2045,2.2098,84944,53828,Pipistrellus pygmaeus,0.787
27,0.809,2.2725,2.2779,87817,53828,Pipistrellus pygmaeus,0.796
28,0.739,2.3325,2.3372,86831,53828,Pipistrellus pygmaeus,0.712
29,0.664,2.3805,2.3845,80652,52968,Pipistrellus pygmaeus,0.41
30,0.62,2.4205,2.4241,80362,47812,Myotis alcathoe,0.484
31,0.794,2.7265,2.7315,78285,53828,Pipistrellus pygmaeus,0.781
